%LATITUDE	LONGITUDE	h (m)	HN (m)
-25.4521317853	-49.7136358172	1149.6980	1145.2642
-24.7530239281	-51.7761672981	894.8960	893.1957
-24.7249366856	-49.9863698522	1041.7460	1037.6702
-24.0153658850	-51.0917000528	1011.9770	1011.9916
-24.2556928669	-49.7132372742	836.2620	834.7715
-26.2702300447	-49.9190781600	849.8280	845.7893
-26.3139985689	-49.9099338989	952.0200	947.9758
-23.6620747142	-51.6917918039	604.3530	606.1806
-24.0999334914	-51.6498157444	537.7520	539.0504
-23.6882242833	-49.8335201036	622.3960	624.6169
-23.8896360828	-50.2722058883	683.9390	684.8542
-24.1700991808	-49.7982671817	940.4790	939.4021
-24.4888138214	-52.8938453553	514.5860	513.5290
-24.0962410928	-52.6232107158	590.2950	590.2758
-25.1091330472	-52.8558666089	837.5650	835.1100
-25.5220335975	-51.5398837575	1068.6610	1064.1606
-25.1790673708	-50.6561419592	826.2310	822.5612
-25.2185833078	-50.0563492903	827.9480	823.6970
-25.6342142764	-49.8312629050	903.6170	899.3279
-26.2173672311	-51.5172326325	918.8100	912.5509
-24.6651828744	-50.6833076558	935.8690	933.1940
-24.0036399719	-50.4464864561	868.0080	867.9588
-23.5312014008	-50.1197177358	484.1730	487.3743
-25.2265813931	-50.5992965122	879.1530	875.2503
-24.5665492833	-51.3375284039	537.3330	536.5017
-23.7223914322	-52.1800140086	373.2190	375.0813
-23.7893704422	-53.0603095897	471.0500	471.0216
-24.5570773583	-52.9985344272	486.9500	485.7066
-25.7498441692	-53.0535788492	514.3000	511.5749
-26.2665337903	-52.7826059147	694.3880	689.7200
-25.4258255214	-52.0179864531	773.5040	770.1935
-25.6969978103	-51.6599773006	1056.8500	1052.0128


