%LATITUDE (°) - tide free	LONGITUDE (°) - tide free	h (m) - tide free	Anomalia de gravidade residual (mGal)
-25.51675557	-49.11986617	904.43510000	23.11596175
-25.54707832	-49.04906494	922.43760000	31.24873470
-25.49139968	-48.99675202	963.87420000	42.95733105
-25.43824147	-49.01417292	938.48720000	35.25052649
-25.43957250	-49.09905768	886.22810000	28.96199549
-25.38636558	-48.96626805	930.67140000	56.95159509
-25.27606252	-49.06750046	937.60450000	37.13024221
-25.21546361	-49.01418051	849.06190000	24.25994329
-25.11832123	-49.03504505	961.30110000	30.52065042
-25.12520796	-48.93918875	850.53600000	24.41698485
-25.14769816	-48.90460764	805.79780000	23.77820521
-25.57475621	-48.98656866	924.95350000	37.64840356
-25.59693855	-48.90161231	726.18080000	27.67027157
-25.55634358	-48.82249921	83.41060000	-37.98911842
-25.52746224	-48.90202145	123.85940000	-44.87180593
-25.50715178	-48.88540014	69.37750000	-49.40486480
-25.42482012	-48.91924150	230.30770000	-47.80220724
-25.03424644	-48.97419828	1024.68270000	44.24166016
-24.97499147	-48.90875042	869.66540000	28.54409523
-25.01382652	-48.81726544	806.04990000	18.93218539
-25.07528326	-48.87086931	782.82270000	14.94182297
-25.06990534	-48.76881738	633.40560000	9.84769979
-24.92612195	-48.90884103	974.54400000	52.85257759
-24.88406338	-48.89386957	894.44340000	31.34036859
-24.89530260	-48.78924893	1000.34340000	50.69379561
-24.88482721	-48.79503920	946.57990000	42.31864053
-24.84428648	-48.80475844	832.98550000	32.44992646
-24.71927470	-48.83170512	151.30450000	-58.55546910
-24.74962952	-48.85309034	217.11910000	-47.15326979
-24.78023167	-48.88413968	286.46640000	-40.13474104
-24.67021026	-48.82682570	134.34790000	-79.58325606
-24.71752132	-48.93886849	234.62920000	-59.30318206
-25.03522405	-48.56305183	602.94770000	19.86562953
-24.90018121	-48.56861372	214.92440000	-32.88711755
-24.83522048	-48.57767083	268.31360000	-26.42404396
-24.92820419	-48.53180154	709.80210000	28.78388009
-24.98242095	-48.55437147	740.47460000	33.04497065
-25.34190498	-48.78008320	15.37770000	-50.32180853
-25.27358672	-48.72813888	15.98500000	-46.46312114
