%LATITUDE (°) - tide free	LONGITUDE (°) - tide free	Anomalia refinada de Bouguer (mGal) - zero tide
-25.51675557	-49.11986617	-36.25427065
-25.54707832	-49.04906494	-35.42358312
-25.49139968	-48.99675202	-32.70522987
-25.43824147	-49.01417292	-36.44898764
-25.43957250	-49.09905768	-30.43866591
-25.38636558	-48.96626805	-18.10023826
-25.27606252	-49.06750046	-32.28192433
-25.21546361	-49.01418051	-39.69848588
-25.11832123	-49.03504505	-45.42009438
-25.12520796	-48.93918875	-45.59187597
-25.14769816	-48.90460764	-43.60870257
-25.57475621	-48.98656866	-34.52152655
-25.59693855	-48.90161231	-29.78023093
-25.55634358	-48.82249921	-30.20084453
-25.52746224	-48.90202145	-34.63653141
-25.50715178	-48.88540014	-34.48757060
-25.42482012	-48.91924150	-48.17477464
-25.03424644	-48.97419828	-43.04179276
-24.97499147	-48.90875042	-45.42842162
-25.01382652	-48.81726544	-54.12944690
-25.07528326	-48.87086931	-52.24776266
-25.06990534	-48.76881738	-47.59219711
-24.92612195	-48.90884103	-32.47577791
-24.88406338	-48.89386957	-45.51615414
-24.89530260	-48.78924893	-44.43095446
-24.88482721	-48.79503920	-46.28411197
-24.84428648	-48.80475844	-42.22520599
-24.71927470	-48.83170512	-53.34882689
-24.74962952	-48.85309034	-48.67535818
-24.78023167	-48.88413968	-48.20465277
-24.67021026	-48.82682570	-71.90694170
-24.71752132	-48.93886849	-57.85387980
-25.03522405	-48.56305183	-46.78456717
-24.90018121	-48.56861372	-53.36588099
-24.83522048	-48.57767083	-50.87067942
-24.92820419	-48.53180154	-49.68502746
-24.98242095	-48.55437147	-48.63015465
-25.34190498	-48.78008320	-38.30622664
-25.27358672	-48.72813888	-38.48634216
-25.22099017	-48.75874296	-44.51726047
-25.31421651	-48.64842106	-26.70254856
-25.38716864	-48.65363371	-37.16194953
-25.25580008	-48.57192401	-22.53626947
-25.31827582	-48.51934929	-33.80324829
-25.18714994	-48.52469006	-24.65699358
-25.46218461	-48.87455348	-36.31658750
-25.42697570	-48.87769725	-35.64626952
-25.43311791	-48.91449790	-43.02555781
-25.54223107	-48.98593159	-35.44628207
-25.49651264	-48.98201427	-34.10023421
-25.47657711	-49.05417036	-31.68771754
-25.57975749	-49.11738323	-43.46907932
-25.62817465	-49.06945611	-46.37418143
-25.68407128	-48.99174916	-23.65458710
-25.68129320	-49.06006778	-37.17258216
-25.76197636	-49.02544418	-27.69161480
-25.80388009	-48.87680046	-47.33952497
-25.63876166	-48.92078145	-32.90245732
-25.51465790	-48.99130560	-35.89221814
-25.97019519	-48.59446475	1.77258728
-25.96600914	-48.59347167	1.61427960
-25.96138688	-48.59229785	1.19704956
-25.95709262	-48.59076801	0.67284200
-25.95258065	-48.58917283	0.51343618
-25.94849519	-48.58771879	1.53367385
-25.94377420	-48.58603824	1.41518904
-25.93968889	-48.58459438	1.33374153
-25.93586437	-48.58309537	1.19738203
-25.93123726	-48.58109384	1.36726055
-25.92681929	-48.57918798	0.70141144
-25.92261933	-48.57736762	1.48132608
-25.91862853	-48.57564289	1.48810086
-25.91463738	-48.57389831	1.22450839
-25.91034933	-48.57167095	1.35847381
-25.90626173	-48.56955937	2.28950731
-25.90197363	-48.56733230	2.52228109
-25.89809517	-48.56531649	2.90806798
-25.89380702	-48.56308971	3.64375944
-25.89011130	-48.56121008	3.72554935
-25.88474229	-48.55857681	3.89815150
-25.88020128	-48.55634571	3.76546213
-25.87586058	-48.55422039	3.05877071
-25.87131953	-48.55198961	4.46100886
-25.86677846	-48.54975899	2.82680748
-25.86533154	-48.54905068	2.30551214
-25.86202800	-48.54742312	2.50621379
-25.85542123	-48.54418820	7.13044341
-25.85293687	-48.54297284	1.23255603
-25.85025217	-48.54165196	12.07913215
-25.85005183	-48.54154639	1.97827421
-25.84798600	-48.54053191	2.35930751
-25.84447321	-48.53880940	2.68379188
-25.84406368	-48.53860843	1.56445021
-25.84017157	-48.53740250	1.63399681
-25.83576859	-48.53640668	0.95911272
-25.83201789	-48.53555696	0.80253689
-25.82782741	-48.53378900	0.41337804
-25.82388818	-48.53193617	0.66885110
-25.81863655	-48.52986141	1.01096886
-25.81416879	-48.53195828	1.87378366
-25.80947731	-48.53045031	1.71850288
-25.80510315	-48.52849719	0.18591946
-25.80095502	-48.52656940	-0.28648453
-25.79685011	-48.52453118	-0.96484166
-25.79278843	-48.52238254	-0.94591452
-25.78852654	-48.52013851	-0.83654294
-25.78443808	-48.51801064	-0.83615824
-25.78036747	-48.51587256	-0.37743496
-25.77607845	-48.51362953	-0.42555914
-25.77192950	-48.51166281	-1.54953332
-25.76776368	-48.50976633	-1.93254449
-25.76387563	-48.50775455	-1.93305770
-25.75965647	-48.50538106	-2.09234014
-25.75565499	-48.50307293	-1.52358983
-25.75207207	-48.50096546	-2.01033116
-25.26791351	-49.56556865	-51.21748553
-25.26927754	-49.56069348	-52.12051407
-25.27502683	-49.56178899	-54.34040698
-25.27935216	-49.55940274	-55.32810271
-25.28291067	-49.55693048	-57.35242627
-25.28499682	-49.55442433	-58.22957787
-25.28791458	-49.55230384	-58.87315183
-25.29145701	-49.54979147	-58.65466388
-25.29408416	-49.54839449	-58.06340313
-25.29913212	-49.54792206	-58.00077834
-25.30233269	-49.54537378	-57.94175751
-25.30601776	-49.54146905	-57.88698746
-25.31178440	-49.53829610	-57.13567644
-25.31791405	-49.53949997	-57.19015372
-25.32439712	-49.53968597	-55.67028622
-25.32746809	-49.53408193	-53.40913845
-25.33135097	-49.52976727	-52.40303509
-25.33381670	-49.52310318	-52.17093778
-25.33873237	-49.51920143	-51.58207922
-25.34131608	-49.52332747	-52.34706870
-25.31996258	-49.48134769	-47.44028242
-25.31541481	-49.48211902	-47.47467145
-25.31093480	-49.48306155	-47.96814119
-25.30832940	-49.48750686	-48.42062770
-25.30580290	-49.49219631	-49.55921051
-25.30366433	-49.48947480	-49.42980866
-25.29907315	-49.48866528	-49.12892255
-25.32616893	-49.54448022	-55.79637881
-25.32500540	-49.54964335	-56.79951773
-25.32805579	-49.55351649	-56.17939109
-25.33151461	-49.55672942	-55.74702437
-25.33543432	-49.55165336	-54.75683898
-25.33091936	-49.53901822	-53.72505445
-25.33246724	-49.54405911	-53.73817004
-25.33870606	-49.55590929	-54.72570006
-25.34113782	-49.56012039	-55.53886019
-25.34385563	-49.56495367	-54.93026102
-25.33930389	-49.56447926	-54.36890720
-25.34813075	-49.56507363	-54.40071906
-25.34759318	-49.58344999	-55.14288226
-25.34264566	-49.58469177	-54.59251504
-25.33987950	-49.58059244	-54.70641592
-25.33844162	-49.58650065	-54.63689334
-25.33606341	-49.59104450	-55.17172575
-25.33184427	-49.59314130	-55.71211777
-25.32773098	-49.59534034	-55.60261373
-25.32322150	-49.59374111	-55.76871451
-25.31879694	-49.59465514	-55.02617272
-25.34286199	-49.59089954	-54.65281580
-25.34372576	-49.59653530	-55.02030422
-25.34413151	-49.60154755	-54.50556070
-25.33483299	-49.56568879	-55.61087145
-25.33142679	-49.56918369	-56.87264799
-25.32918107	-49.56097834	-57.47906579
-25.32773013	-49.56586409	-57.71322221
-25.32513120	-49.56325501	-58.33847034
-25.32600806	-49.56963089	-57.85316498
